satID,Second,Data Bits Generated,Data Bits Generated.1
515,805,True,228000
303,806,True,0
304,806,True,0
401,806,True,0
402,806,True,0
403,806,True,0
513,806,True,0
514,806,True,0
515,806,True,0
303,807,True,0
304,807,True,0
401,807,True,0
402,807,True,0
403,807,True,0
513,807,True,0
514,807,True,0
515,807,True,0
303,808,True,0
304,808,True,0
401,808,True,223440
402,808,True,223440
403,808,True,0
513,808,True,0
514,808,True,223440
515,808,True,0
303,809,True,0
304,809,True,0
401,809,True,0
402,809,True,0
403,809,True,0
513,809,True,0
514,809,True,0
515,809,True,0
303,810,True,0
304,810,True,0
401,810,True,214320
402,810,True,214320
403,810,True,0
513,810,True,0
514,810,True,214320
515,810,True,0
303,811,True,0
304,811,True,0
401,811,True,223440
402,811,True,223440
403,811,True,0
513,811,True,0
514,811,True,223440
515,811,True,0
