satID,Second,Data Bits Generated,Data Bits Generated
109,698,TRUE,0
110,698,TRUE,0
111,698,TRUE,0
207,698,TRUE,0
208,698,TRUE,0
209,698,TRUE,0
303,698,TRUE,0
304,698,TRUE,0
306,698,TRUE,0
401,698,TRUE,209760
402,698,TRUE,209760
403,698,TRUE,0
513,698,TRUE,0
514,698,TRUE,209760
515,698,TRUE,0
109,699,TRUE,0
110,699,TRUE,228000
111,699,TRUE,0
207,699,TRUE,228000
208,699,TRUE,228000
209,699,TRUE,0
303,699,TRUE,0
304,699,TRUE,0
306,699,TRUE,0
401,699,TRUE,0
402,699,TRUE,0
403,699,TRUE,0
513,699,TRUE,0
514,699,TRUE,0
515,699,TRUE,0
109,700,TRUE,0
110,700,TRUE,0
111,700,TRUE,0
207,700,TRUE,0
208,700,TRUE,0
209,700,TRUE,0
303,700,TRUE,0
304,700,TRUE,0
306,700,TRUE,0
401,700,TRUE,223440
402,700,TRUE,223440
403,700,TRUE,0
513,700,TRUE,0
514,700,TRUE,223440
515,700,TRUE,0
109,701,TRUE,0
110,701,TRUE,228000
111,701,TRUE,0
207,701,TRUE,228000
208,701,TRUE,228000
209,701,TRUE,0
303,701,TRUE,0
304,701,TRUE,0
306,701,TRUE,0
401,701,TRUE,0
402,701,TRUE,0
403,701,TRUE,0
513,701,TRUE,0
514,701,TRUE,0
515,701,TRUE,0
109,702,TRUE,0
110,702,TRUE,0
111,702,TRUE,0
207,702,TRUE,0
208,702,TRUE,0
209,702,TRUE,0
303,702,TRUE,0
304,702,TRUE,0
306,702,TRUE,0
401,702,TRUE,0
402,702,TRUE,0
403,702,TRUE,0
513,702,TRUE,0
514,702,TRUE,0
515,702,TRUE,0
109,703,TRUE,0
110,703,TRUE,0
111,703,TRUE,0
207,703,TRUE,0
208,703,TRUE,0
209,703,TRUE,0
303,703,TRUE,0
304,703,TRUE,0
306,703,TRUE,0
401,703,TRUE,0
402,703,TRUE,0
403,703,TRUE,0
513,703,TRUE,0
514,703,TRUE,0
515,703,TRUE,0
109,704,TRUE,0
110,704,TRUE,0
111,704,TRUE,0
207,704,TRUE,0
208,704,TRUE,0
209,704,TRUE,0
303,704,TRUE,0
304,704,TRUE,0
306,704,TRUE,0
401,704,TRUE,0
402,704,TRUE,0
403,704,TRUE,0
513,704,TRUE,0
514,704,TRUE,0
515,704,TRUE,0
109,705,TRUE,0
110,705,TRUE,0
111,705,TRUE,0
207,705,TRUE,0
208,705,TRUE,0
209,705,TRUE,0
303,705,TRUE,0
304,705,TRUE,0
